FECHA,TEMPERATURA,PRECIPITACION,VIENTO,Codigo Postal
2024-01-01,4.5,0.0,False,
2024-01-02,3.2,0.1,False,
2024-01-03,7.6,4.2,False,
2024-01-04,7.4,3.9,False,
2024-01-05,4.9,1.5,False,
2024-01-06,4.6,0.0,False,
2024-01-07,4.6,0.1,False,
2024-01-08,2.9,0.0,False,
2024-01-09,2.9,0.0,False,
2024-01-10,3.9,0.7,False,
2024-01-11,2.5,0.0,False,
2024-01-12,1.1,0.2,False,
2024-01-13,4.0,0.0,False,
2024-01-14,5.4,1.3,False,
2024-01-15,8.4,3.7,False,
2024-01-16,9.7,0.1,False,
2024-01-17,7.9,8.9,False,
2024-01-18,8.2,0.2,False,
2024-01-19,3.4,25.5,False,
2024-01-20,2.9,0.0,False,
2024-01-21,5.2,0.0,False,
2024-01-22,3.9,0.0,False,
2024-01-23,7.4,0.0,False,
2024-01-24,10.1,0.0,False,
2024-01-25,10.0,0.0,False,
2024-01-26,10.7,0.0,False,
2024-01-27,11.1,0.0,False,
2024-01-28,9.5,0.0,False,
2024-01-29,8.5,0.0,False,
2024-01-30,6.7,0.0,False,
2024-01-31,3.8,0.0,False,
2024-02-01,8.7,0.0,False,
2024-02-02,8.5,0.0,False,
2024-02-03,8.0,0.0,False,
2024-02-04,8.8,0.0,False,
2024-02-05,8.0,0.0,False,
2024-02-06,7.3,0.0,False,
2024-02-07,6.2,0.0,False,
2024-02-08,6.2,0.5,False,
2024-02-09,6.1,12.7,False,
2024-02-10,5.3,0.8,False,
2024-02-11,2.9,0.1,False,
2024-02-12,6.7,0.1,False,
2024-02-13,9.2,0.0,False,
2024-02-14,10.6,0.0,False,
2024-02-15,8.8,3.2,False,
2024-02-16,9.1,0.1,False,
2024-02-17,8.9,0.0,False,
2024-02-18,9.2,0.0,False,
2024-02-19,10.5,0.0,False,
2024-02-20,10.3,0.0,False,
2024-02-21,8.4,0.0,False,
2024-02-22,7.6,4.1,False,
2024-02-23,4.1,0.3,False,
2024-02-24,4.2,0.0,False,
2024-02-25,6.3,0.3,False,
2024-02-26,6.1,0.1,False,
2024-02-27,4.4,0.0,False,
2024-02-28,6.0,0.0,False,
2024-02-29,5.8,0.0,False,
